meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1218,9157,23,4,2023-09-03T13:27:47.470000+00:00,28.184,29.904,28.596,312.0,315.0,False,86.684,"[None, 2048, 2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",317.0
1218,9157,81,4,2023-09-03T13:27:48.439000+00:00,28.438,29.981,28.585,308.0,309.0,False,87.004,"[None, 2049, 2049, 2049, 2048, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049]",322.0
1218,9157,4,4,2023-09-03T13:27:49.236000+00:00,28.445,29.988,28.636,309.0,316.0,False,87.069,"[None, 2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2049, 2049, 2049, 2048, 2048, 2049, 2048, 2049, 2049]",312.0
1218,9157,44,4,2023-09-03T13:27:50.189000+00:00,28.233,30.219,28.781,309.0,316.0,False,87.233,"[None, 2049, 2049, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2049, 2049, 2048, 2048, 2048, 2048, 2048, 2048]",311.0
1218,9157,27,4,2023-09-03T13:27:51.032000+00:00,28.353,30.179,28.668,,323.0,False,87.2,"[2049, 2049, 2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2049, 2049, 2048, 2048, 2049, 2048, 2048, 2049, 2049]",325.0
1218,9157,14,4,2023-09-03T13:27:51.954000+00:00,28.2,30.095,28.926,315.0,329.0,False,87.221,"[None, 2049, 2049, 2049, 2048, 2048, 2049, 2048]","[2049, 2048, 2049, 2048, 2049, 2048, 2049]","[2048, 2048, 2048, 2049, 2049, 2049, 2049, 2048, 2048]",325.0
1218,9157,40,4,2023-09-03T13:27:52.654000+00:00,28.037,30.226,28.867,,330.0,False,87.13,"[2049, 2049, 2049, 2049, 2048, 2048, 2048, 2048]","[2048, 2049, 2049, 2048, 2048, 2048, 2049]","[2048, 2049, 2049, 2049, 2049, 2048, 2049, 2048, 2049]",331.0
1218,9157,2,4,2023-09-03T13:27:53.204000+00:00,27.934,30.315,29.14,319.0,333.0,False,87.389,"[2049, 2049, 2048, 2049, 2048, 2048, 2048, 2048]","[2049, 2048, 2049, 2048, 2048, 2048, 2048]","[2049, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",331.0
1218,9157,77,4,2023-09-03T13:27:53.845000+00:00,28.114,30.047,28.958,314.0,334.0,False,87.119,"[None, 2049, 2049, 2049, 2048, 2048, 2048, 2048]","[2049, 2048, 2049, 2049, 2048, 2049, 2051]","[2049, 2049, 2048, 2048, 2048, 2049, 2048, 2048, 2049]",335.0
1218,9157,24,4,2023-09-03T13:27:54.314000+00:00,28.252,30.256,29.107,,330.0,False,87.615,"[2051, 2049, 2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048]",333.0
